monument_id,asi_slno,name,locality,district,state,circle,page,raw_text
ASI-00022,22,Leh Mini-circle 15 Ladakh (U.T.) 15,,,Kolkata Circle 86 West Bengal 86,Kolkata Circle,2,Leh Mini-circle 15 Ladakh (U.T.) 15
ASI-00001,1,List of Centrally Protected Monuments / Sites under the jurisdiction of Andhra Pradesh (Amaravati Circle) Sl.No. Name of the Monument / Site Locality District,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,List of Centrally Protected Monuments / Sites under the jurisdiction of Andhra Pradesh (Amaravati Circle) Sl.No. Name of the Monument / Site Locality District
ASI-00001,1,Hill Fort and buildings therein and the Gooty Anantapuramu fortifications at the foot of the hill.,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Hill Fort and buildings therein and the Gooty Anantapuramu fortifications at the foot of the hill.
ASI-00002,2,Madhavaraya temple (Old Vishnu temple) Gorantla Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Madhavaraya temple (Old Vishnu temple) Gorantla Anantapuramu
ASI-00003,3,Outer wall of the Mahalakshmi temple Goripalli Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Outer wall of the Mahalakshmi temple Goripalli Anantapuramu
ASI-00004,4,Group of sculptures - Ancient Site Hemavati Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Group of sculptures - Ancient Site Hemavati Anantapuramu
ASI-00005,5,Group of old temples together with Hemavati Anantapuramu adjacent land,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Group of old temples together with Hemavati Anantapuramu adjacent land
ASI-00006,6,Large dolmen on a rocky hillock Kalyandurg Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Large dolmen on a rocky hillock Kalyandurg Anantapuramu
ASI-00007,7,Mallikarjuna (Siva) temple Kambaduru Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Mallikarjuna (Siva) temple Kambaduru Anantapuramu
ASI-00008,8,Veerabhadra temple Lepakashi Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Veerabhadra temple Lepakashi Anantapuramu
ASI-00009,9,Basavannah temple Lepakashi Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Basavannah temple Lepakashi Anantapuramu
ASI-00010,10,Hill fort Madakasira Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Hill fort Madakasira Anantapuramu
ASI-00011,11,Large bastion and an old gateway Madakasira Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Large bastion and an old gateway Madakasira Anantapuramu
ASI-00012,12,Old gopuram Penukonda Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Old gopuram Penukonda Anantapuramu
ASI-00013,13,Old stamba or lamp pillar in the Sub Penukonda Anantapuramu Collector's office compound,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Old stamba or lamp pillar in the Sub Penukonda Anantapuramu Collector's office compound
ASI-00014,14,Seethatheertham stepped well with Penukonda Anantapuramu entrance in the from of a bull,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Seethatheertham stepped well with Penukonda Anantapuramu entrance in the from of a bull
ASI-00015,15,Small pavillion and ruined water tower in a Penukonda Anantapuramu field,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Small pavillion and ruined water tower in a Penukonda Anantapuramu field
ASI-00016,16,The citadel and ruined buildings on the Penukonda Anantapuramu hill,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,The citadel and ruined buildings on the Penukonda Anantapuramu hill
ASI-00017,17,The Hill fort and northern gateway with Penukonda Anantapuramu inscriptions,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,The Hill fort and northern gateway with Penukonda Anantapuramu inscriptions
ASI-00018,18,Watch tower known as Rama's bastion Penukonda Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Watch tower known as Rama's bastion Penukonda Anantapuramu
ASI-00019,19,Hill fortressand a large wall Ratnagiri Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Hill fortressand a large wall Ratnagiri Anantapuramu
ASI-00020,20,Extensive hill fortress with outlying Rayadurg Anantapuramu fortification,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Extensive hill fortress with outlying Rayadurg Anantapuramu fortification
ASI-00021,21,Palace and two temples of Rama and Rayadurg Anantapuramu Krishna,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Palace and two temples of Rama and Rayadurg Anantapuramu Krishna
ASI-00022,22,Chintalarayaswami temple Tadpatri Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Chintalarayaswami temple Tadpatri Anantapuramu
ASI-00023,23,Rameswaraswami temple Tadpatri Anantapuramu,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Rameswaraswami temple Tadpatri Anantapuramu
ASI-00024,24,Lower Fort Chandragiri Chittoor,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Lower Fort Chandragiri Chittoor
ASI-00025,25,Upper Fort Chandragiri Chittoor,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Upper Fort Chandragiri Chittoor
ASI-00026,26,Parasuramesvara temple Gudimallam Chittoor,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Parasuramesvara temple Gudimallam Chittoor
ASI-00027,27,Fort Gurramkonda Chittoor,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Fort Gurramkonda Chittoor
ASI-00028,28,Lower Fort,Center Fort wall,moat,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,"Lower Fort , Center Fort wall, moat, old Gurramkonda Chittoor fort gateway, old hanuman temple, old mahammadan tomb, old mandapam and old mosque"
ASI-00029,29,Mahal Gurramkonda Chittoor,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Mahal Gurramkonda Chittoor
ASI-00030,30,Palliswara mudaya Mahadeva temple Kalakada Chittoor,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Palliswara mudaya Mahadeva temple Kalakada Chittoor
ASI-00031,31,Venkateswara Vishnu temple Mangapuram Chittoor (Hamlet of Mittapalam),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Venkateswara Vishnu temple Mangapuram Chittoor (Hamlet of Mittapalam)
ASI-00032,32,Megalithic cairns with bounding stone Pandur Chittoor 4 Sl.No. Name of the Monument / Site Locality District circles,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,4,Megalithic cairns with bounding stone Pandur Chittoor 4 Sl.No. Name of the Monument / Site Locality District circles
ASI-00033,33,Chennakeswaraswami temple Sompalle Chittoor,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Chennakeswaraswami temple Sompalle Chittoor
ASI-00034,34,Megalithic cists and cairns Virakuppam Chittoor (Birakuppam),,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Megalithic cists and cairns Virakuppam Chittoor (Birakuppam)
ASI-00035,35,Mounds containing Buddhist remains such Adurru East Godavari as stupas,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Mounds containing Buddhist remains such Adurru East Godavari as stupas
ASI-00036,36,Gollingeswara group of temples Biccavolu East Godavari,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Gollingeswara group of temples Biccavolu East Godavari
ASI-00037,37,Kanchragudi Biccavolu East Godavari,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Kanchragudi Biccavolu East Godavari
ASI-00038,38,Monolithic Ganesa Image Biccavolu East Godavari,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Monolithic Ganesa Image Biccavolu East Godavari
ASI-00039,39,Nakkalagudi Biccavolu East Godavari,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Nakkalagudi Biccavolu East Godavari
ASI-00040,40,Veerabhadra temple Biccavolu East Godavari,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Veerabhadra temple Biccavolu East Godavari
ASI-00041,41,Bhimeswara temple Draksharama East Godavari,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Bhimeswara temple Draksharama East Godavari
