asi_slno,raw_text,page
1,Andhra Pradesh 135 Amaravati Circle `135,1
2,Arunachal Pradesh 03 Guwahati Circle 03,1
3,Assam 55 Guwahati Circle 55,1
4,Bihar 70 Patna Circle 70,1
5,Chhattisgarh 46 Raipur Circle 46,1
6,Daman & Diu (U.T.) 11 Vadodara Circle 11,1
7,Goa 21 Goa Circle 21,1
8,Gujarat 205 Vadodara Circle 159 Rajkot Circle 46,1
9,Haryana 93 Chandigarh Circle 93,1
10,Himachal Pradesh 40 Shimla Circle 40,1
11,Jammu & Kashmir 56 Srinagar Circle 56 (U.T.),1
12,Jharkhand 13 Ranchi Circle 13,1
13,Karnataka 506 Bangalore Circle 133 Dharwad Circle 282 Hampi Circle 91,1
14,Kerala 29 Thrissur Circle 29,1
15,Ladakh (U.T.) 15 Leh Mini-Circle 15,1
16,Madhya Pradesh 291 Bhopal Circle 183 Jabalpur 108,1
17,Maharashtra 286 Aurangabad Circle 75 Mumbai Circle 117 Nagpur Circle 94,1
18,Manipur 01 Aizawl Circle 01,1
19,Meghalaya 08 Guwahati Circle 08,1
20,Mizoram 01 Aizawl Circle 01,1
21,Nagaland 04 Guwahati Circle 04,1
22,N.C.T. Delhi 172 Delhi Circle 172,1
23,Odisha 81 Bhubaneswar Circle 41 Puri Circle 40,1
24,Puducherry (U.T.) 07 Chennai Circle 07,1
25,Punjab 33 Chandigarh Circle 33,1
26,Rajasthan 163 Jaipur Circle 90 Jodhpur Circle 73,1
27,Sikkim 03 Raiganj Circle 03,1
28,Telangana 08 Hyderabad Circle 08,1
29,Tamilnadu 412 Chennai Circle 250 Tiruchirapalli Circle 162,1
30,Tripura 08 Aizawl Circle 08,1
31,Uttar Pradesh 743 Agra Circle 154 Jhansi Circle 173 Lucknow Circle 191 Meerut Circle 82 Sarnath Circle 143,1
32,Uttarakhand 44 Dehradun Circle 44,1
33,West Bengal 135 Kolkata Circle 86 Raiganj 49 TOTAL 3698 3698 1 Centrally Protected Monuments/Sites: Circle-wise and State-wise Sl.No. Circle Name No. of State Covered No. of Monuments Monuments,1
1,Agra Circle 187 Uttar Pradesh 154,2
2,Aizawl Circle 10 Manipur 01 Mizoram 01 Tripura 08,2
3,Amaravati Circle 135 Andhra Pradesh 135,2
4,Aurangabad Circle 75 Maharashtra 75,2
5,Bangalore Circle 133 Karnataka 133,2
6,Bhopal Circle 183 Madhya Pradesh 183,2
7,Bhubaneswar Circle 41 Odisha 41,2
8,Chandigarh Circle 126 Haryana 93 Punjab 33,2
9,Chennai Circle 257 Tamilnadu 250 Puducherry (U.T.) 07,2
10,Dehradun Circle 44 Uttarakhand 44,2
11,Delhi Circle 172 N.C.T. Delhi 172,2
12,Dharwad Circle 282 Karnataka 282,2
13,Goa Circle 21 Goa 21,2
14,Guwahati Circle 70 Arunachal Pradesh 03 Assam 55 Meghalaya 08 Nagaland 04,2
15,Hampi Circle 91 Karnataka 91,2
16,Hyderabad Circle 08 Telangana 08,2
17,Jabalpur Circle 108 Madhya Pradesh 108,2
18,Jaipur Circle 90 Rajasthan 90,2
19,Jhansi Circle 173 Uttar Pradesh 173,2
20,Jodhpur Circle 73 Rajasthan 73,2
21,Kolkata Circle 86 West Bengal 86,2
22,Leh Mini-circle 15 Ladakh (U.T.) 15,2
23,Lucknow Circle 191 Uttar Pradesh 191,2
24,Meerut Circle 82 Uttar Pradesh 82,2
25,Mumbai Circle 117 Maharashtra 117,2
26,Nagpur Circle 94 Maharashtra 94,2
27,Patna Circle 70 Bihar 70,2
28,Puri Circle 40 Odisha 40,2
29,Raipur Circle 46 Chhattisgarh 46,2
30,Raiganj Circle 52 Sikkim 03 West Bengal 49,2
31,Rajkot Circle 46 Gujarat 46,2
32,Ranchi Circle 13 Jharkhand 13,2
33,Sarnath Circle 143 Uttar Pradesh 143,2
34,Shimla Circle 40 Himachal Pradesh 40,2
35,Srinagar Circle 56 Jammu & Kashmir (U.T) 56,2
36,Tiruchirapalli Circle 162 Tamilnadu 162,2
37,Thrissur Circle 29 Kerala 29,2
38,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,2
1,List of Centrally Protected Monuments / Sites under the jurisdiction of Andhra Pradesh (Amaravati Circle) Sl.No. Name of the Monument / Site Locality District,4
1,Hill Fort and buildings therein and the Gooty Anantapuramu fortifications at the foot of the hill.,4
2,Madhavaraya temple (Old Vishnu temple) Gorantla Anantapuramu,4
3,Outer wall of the Mahalakshmi temple Goripalli Anantapuramu,4
4,Group of sculptures - Ancient Site Hemavati Anantapuramu,4
5,Group of old temples together with Hemavati Anantapuramu adjacent land,4
6,Large dolmen on a rocky hillock Kalyandurg Anantapuramu,4
7,Mallikarjuna (Siva) temple Kambaduru Anantapuramu,4
8,Veerabhadra temple Lepakashi Anantapuramu,4
9,Basavannah temple Lepakashi Anantapuramu,4
10,Hill fort Madakasira Anantapuramu,4
11,Large bastion and an old gateway Madakasira Anantapuramu,4
12,Old gopuram Penukonda Anantapuramu,4
13,Old stamba or lamp pillar in the Sub Penukonda Anantapuramu Collector's office compound,4
14,Seethatheertham stepped well with Penukonda Anantapuramu entrance in the from of a bull,4
15,Small pavillion and ruined water tower in a Penukonda Anantapuramu field,4
16,The citadel and ruined buildings on the Penukonda Anantapuramu hill,4
17,The Hill fort and northern gateway with Penukonda Anantapuramu inscriptions,4
18,Watch tower known as Rama's bastion Penukonda Anantapuramu,4
19,Hill fortressand a large wall Ratnagiri Anantapuramu,4
20,Extensive hill fortress with outlying Rayadurg Anantapuramu fortification,4
21,Palace and two temples of Rama and Rayadurg Anantapuramu Krishna,4
22,Chintalarayaswami temple Tadpatri Anantapuramu,4
23,Rameswaraswami temple Tadpatri Anantapuramu,4
24,Lower Fort Chandragiri Chittoor,4
25,Upper Fort Chandragiri Chittoor,4
26,Parasuramesvara temple Gudimallam Chittoor,4
27,Fort Gurramkonda Chittoor,4
28,"Lower Fort , Center Fort wall, moat, old Gurramkonda Chittoor fort gateway, old hanuman temple, old mahammadan tomb, old mandapam and old mosque",4
29,Mahal Gurramkonda Chittoor,4
30,Palliswara mudaya Mahadeva temple Kalakada Chittoor,4
31,Venkateswara Vishnu temple Mangapuram Chittoor (Hamlet of Mittapalam),4
32,Megalithic cairns with bounding stone Pandur Chittoor 4 Sl.No. Name of the Monument / Site Locality District circles,4
33,Chennakeswaraswami temple Sompalle Chittoor,5
34,Megalithic cists and cairns Virakuppam Chittoor (Birakuppam),5
35,Mounds containing Buddhist remains such Adurru East Godavari as stupas,5
36,Gollingeswara group of temples Biccavolu East Godavari,5
37,Kanchragudi Biccavolu East Godavari,5
38,Monolithic Ganesa Image Biccavolu East Godavari,5
39,Nakkalagudi Biccavolu East Godavari,5
40,Veerabhadra temple Biccavolu East Godavari,5
41,Bhimeswara temple Draksharama East Godavari,5
42,"Rock-cut caves and cisterns and remains Kapavaram East Godavari of Buddhist Stupas, Chaityas and Viharas (monasteries) on the hill Pandavula or Pandavulakonda",5
43,Buddhist remains at Kodavali Kodavali East Godavari,5
44,"Bhimeswara temple Samalkot, East Godavari (Bhimavaram)",5
